Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-07,2016,6,7,Tuesday,23,2016-23,64.05,64.44,63.85,63.85,4035583.0,56.94,0.000887916635484709,56.209999999999994,56.8796
2016-06-08,2016,6,8,Wednesday,23,2016-23,63.85,64.27,63.8,64.24,4078645.0,57.28,0.006111414577710583,56.32142857142857,56.9088
2016-06-09,2016,6,9,Thursday,23,2016-23,63.92,64.41,63.87,64.39,5733748.0,57.43,0.0024493080926055733,56.47428571428571,56.9396
2016-06-10,2016,6,10,Friday,23,2016-23,63.91,64.44,63.69,64.19,5723101.0,57.25,-0.003127475516775835,56.590714285714284,56.9684
2016-06-13,2016,6,13,Monday,24,2016-24,64.18,64.44,63.68,63.69,7141761.0,56.8,-0.00774506142132847,56.68285714285714,56.9896
2016-06-14,2016,6,14,Tuesday,24,2016-24,63.69,64.13,63.25,63.68,5887563.0,56.79,-0.00019764454444648472,56.73428571428571,57.0074
2016-06-15,2016,6,15,Wednesday,24,2016-24,63.88,64.03,63.27,63.27,7118720.0,56.43,-0.006423542016164685,56.74357142857143,57.022600000000004
2016-06-16,2016,6,16,Thursday,24,2016-24,63.12,63.9,62.52,63.64,7229791.0,56.75,0.0057688738925871785,56.77214285714286,57.0384
2016-06-17,2016,6,17,Friday,24,2016-24,63.47,64.0,63.14,63.69,9044429.0,56.8,0.0007912145940542903,56.79,57.0494
2016-06-20,2016,6,20,Monday,25,2016-25,64.2,64.73,63.98,64.0,7067713.0,57.08,0.004940728319852816,56.835,57.0612
2016-06-21,2016,6,21,Tuesday,25,2016-25,64.19,64.25,63.81,63.92,5273732.0,57.0,-0.0012785330754434554,56.88357142857143,57.06219999999999
2016-06-22,2016,6,22,Wednesday,25,2016-25,64.05,64.17,63.62,63.78,4186221.0,56.88,-0.002165715406137747,56.90571428571428,57.050399999999996
2016-06-23,2016,6,23,Thursday,25,2016-25,64.51,64.51,64.02,64.4,4885857.0,57.43,0.009669325939759554,56.982142857142854,57.0326
2016-06-24,2016,6,24,Friday,25,2016-25,62.57,63.19,62.15,62.23,11832330.0,55.5,-0.03361674473299692,56.882857142857134,56.9754
